Date,Open,High,Low,Close,Adj Close,Volume
2020-03-31-1,1148.72998046875,1171.4599609375,1136.719970703125,1161.719970703125,1161.719970703125,542075.0
2020-03-31-2,1162.5450439453125,1172.9200439453125,1158.8800048828125,1172.3050537109375,1172.3050537109375,321395.0
2020-03-31-3,1171.81005859375,1173.4000244140625,1155.199951171875,1155.260009765625,1155.260009765625,258147.0
2020-03-31-4,1155.6400146484375,1164.77001953125,1153.02001953125,1161.3399658203125,1161.3399658203125,266989.0
2020-03-31-5,1161.9599609375,1169.864990234375,1159.3499755859375,1164.4599609375,1164.4599609375,201348.0
2020-03-31-6,1165.0875244140625,1167.9000244140625,1146.31005859375,1147.68505859375,1147.68505859375,313719.0
2020-03-31-7,1147.68505859375,1172.3299560546875,1146.81005859375,1161.949951171875,1161.949951171875,592500.0
2020-04-01-1,1124.0,1129.3499755859375,1114.030029296875,1122.68505859375,1122.68505859375,484839.0
2020-04-01-2,1122.80126953125,1129.030029296875,1119.3699951171875,1120.52001953125,1120.52001953125,235947.0
2020-04-01-3,1120.5,1123.260009765625,1109.530029296875,1110.469970703125,1110.469970703125,321274.0
2020-04-01-4,1110.344970703125,1112.6500244140625,1102.949951171875,1109.02001953125,1109.02001953125,243154.0
2020-04-01-5,1109.1300048828125,1112.5,1104.3499755859375,1106.4150390625,1106.4150390625,168374.0
2020-04-01-6,1106.4300537109375,1109.489990234375,1097.3199462890625,1097.3199462890625,1097.3199462890625,349425.0
2020-04-01-7,1097.300048828125,1107.3599853515625,1093.489990234375,1101.9000244140625,1101.9000244140625,481392.0
2020-04-02-1,1102.0,1108.0999755859375,1093.1300048828125,1102.4599609375,1102.4599609375,657064.0
2020-04-02-2,1100.47998046875,1109.22998046875,1099.1700439453125,1103.93994140625,1103.93994140625,439063.0
2020-04-02-3,1104.81005859375,1121.3399658203125,1103.969970703125,1112.0250244140625,1112.0250244140625,234026.0
2020-04-02-4,1112.0274658203125,1122.77001953125,1105.8800048828125,1106.531005859375,1106.531005859375,174679.0
2020-04-02-5,1106.4150390625,1109.47998046875,1094.1700439453125,1101.52001953125,1101.52001953125,284188.0
2020-04-02-6,1100.4200439453125,1114.449951171875,1097.93994140625,1109.27001953125,1109.27001953125,274958.0
2020-04-02-7,1109.760009765625,1119.72998046875,1105.10498046875,1116.8399658203125,1116.8399658203125,399011.0
2020-04-03-1,1114.7099609375,1118.7900390625,1101.3399658203125,1102.5400390625,1102.5400390625,341129.0
2020-04-03-2,1102.3699951171875,1104.449951171875,1093.0,1095.2349853515625,1095.2349853515625,287305.0
2020-04-03-3,1094.81005859375,1100.97998046875,1091.9300537109375,1093.5899658203125,1093.5899658203125,237426.0
2020-04-03-4,1093.47998046875,1097.9100341796875,1087.260009765625,1087.260009765625,1087.260009765625,236249.0
2020-04-03-5,1087.2099609375,1088.31005859375,1075.0799560546875,1088.0899658203125,1088.0899658203125,377124.0
2020-04-03-6,1087.8800048828125,1088.0,1078.0,1081.175048828125,1081.175048828125,352841.0
2020-04-03-7,1081.050048828125,1094.97998046875,1075.1500244140625,1092.68994140625,1092.68994140625,425098.0
2020-04-06-1,1133.0,1146.0,1125.0,1142.68994140625,1142.68994140625,700273.0
2020-04-06-2,1143.0899658203125,1150.8499755859375,1140.5699462890625,1150.8499755859375,1150.8499755859375,274298.0
2020-04-06-3,1150.3900146484375,1159.2550048828125,1146.199951171875,1158.989990234375,1158.989990234375,228685.0
2020-04-06-4,1159.06005859375,1168.739990234375,1155.5,1167.699951171875,1167.699951171875,256662.0
2020-04-06-5,1167.7950439453125,1173.6700439453125,1161.3321533203125,1164.6400146484375,1164.6400146484375,278172.0
2020-04-06-6,1164.9200439453125,1173.0,1164.9200439453125,1172.489990234375,1172.489990234375,246023.0
2020-04-06-7,1172.135009765625,1190.7547607421875,1166.510009765625,1183.4000244140625,1183.4000244140625,664225.0
2020-04-07-1,1213.9000244140625,1220.0699462890625,1188.155029296875,1190.9749755859375,1190.9749755859375,1030248.0
2020-04-07-2,1191.65185546875,1195.7900390625,1177.25,1192.52001953125,1192.52001953125,396236.0
2020-04-07-3,1192.27001953125,1205.0,1190.6431884765625,1201.699951171875,1201.699951171875,215233.0
2020-04-07-4,1202.9727783203125,1204.1700439453125,1192.43994140625,1198.1199951171875,1198.1199951171875,231301.0
2020-04-07-5,1197.9300537109375,1199.5899658203125,1190.77001953125,1192.43994140625,1192.43994140625,213600.0
2020-04-07-6,1191.8890380859375,1196.97998046875,1185.280029296875,1186.4754638671875,1186.4754638671875,222887.0
2020-04-07-7,1186.550048828125,1201.0,1180.6600341796875,1182.47998046875,1182.47998046875,393146.0
2020-04-08-1,1204.43505859375,1207.9000244140625,1183.9539794921875,1188.9200439453125,1188.9200439453125,295531.0
2020-04-08-2,1188.8914794921875,1200.550048828125,1187.4200439453125,1200.044921875,1200.044921875,180718.0
2020-04-08-3,1199.72998046875,1205.0400390625,1197.9549560546875,1198.260009765625,1198.260009765625,175400.0
2020-04-08-4,1199.2900390625,1204.02001953125,1198.6700439453125,1201.7850341796875,1201.7850341796875,148193.0
2020-04-08-5,1202.3699951171875,1206.199951171875,1194.050048828125,1206.0,1206.0,158071.0
2020-04-08-6,1206.719970703125,1213.8499755859375,1205.75,1210.56005859375,1210.56005859375,270481.0
2020-04-08-7,1211.0,1214.9000244140625,1201.3299560546875,1205.449951171875,1205.449951171875,429249.0
2020-04-09-1,1214.77001953125,1221.97998046875,1192.4166259765625,1200.050048828125,1200.050048828125,562076.0
