Date,Open,High,Low,Close
0,0,0,0,0
2020-03-31-2,-0.4399986267089844,0.25,0.24000167846679688,0.3299980163574219
2020-03-31-3,0.8950004577636719,0.20000076293945312,0.7999992370605469,0.035003662109375
2020-03-31-4,0.14569854736328125,0.0,-0.18999862670898438,-0.05500030517578125
2020-03-31-5,-0.13570022583007812,-0.20000076293945312,0.0,0.05999755859375
2020-03-31-6,0.030002593994140625,0.42099761962890625,0.0,-0.31999969482421875
2020-03-31-7,-0.27500152587890625,-0.08099746704101562,-0.40000152587890625,-0.34999847412109375
2020-04-01-1,-0.3299980163574219,-1.0699996948242188,-1.9399986267089844,-2.0400009155273438
2020-04-01-2,-1.4200019836425781,-1.3700027465820312,-0.060001373291015625,-0.009998321533203125
2020-04-01-3,-0.5699996948242188,-0.30999755859375,-0.7000007629394531,-0.7400016784667969
2020-04-01-4,-0.25,-0.5300025939941406,-0.48999786376953125,-0.332000732421875
2020-04-01-5,-0.8699989318847656,-0.529998779296875,-0.005001068115234375,-0.11800003051757812
2020-04-01-6,0.25,0.0,-0.5450019836425781,-0.4659004211425781
2020-04-01-7,-0.8699989318847656,-0.43000030517578125,0.0,0.38590240478515625
2020-04-02-1,0.5799980163574219,0.9799995422363281,0.4600028991699219,1.0900001525878906
2020-04-02-2,0.5400009155273438,0.6700019836425781,0.7199974060058594,-0.18000030517578125
2020-04-02-3,0.4799995422363281,-0.3899993896484375,0.20000076293945312,0.14500045776367188
2020-04-02-4,0.07999801635742188,0.0,-0.3899993896484375,-0.5800018310546875
2020-04-02-5,-0.18999862670898438,-0.19000244140625,-0.3699989318847656,-0.11499786376953125
2020-04-02-6,-0.45999908447265625,-0.3849983215332031,0.0,0.3119964599609375
2020-04-02-7,0.049999237060546875,0.5649986267089844,0.18999862670898438,0.5380020141601562
2020-04-03-1,0.029998779296875,-0.4399986267089844,-0.1699981689453125,-1.08380126953125
2020-04-03-2,-0.10999679565429688,-0.049999237060546875,-0.5750007629394531,-0.5662002563476562
2020-04-03-3,-0.6100006103515625,-0.8300018310546875,-0.5349998474121094,-0.4799995422363281
2020-04-03-4,-0.4500007629394531,-0.47650146484375,-0.0800018310546875,0.24000167846679688
2020-04-03-5,-0.3300018310546875,0.0565032958984375,0.22999954223632812,0.31999969482421875
2020-04-03-6,0.15500259399414062,0.009998321533203125,0.01000213623046875,-0.17000198364257812
2020-04-03-7,0.08499908447265625,0.0,-0.18000030517578125,-0.1999969482421875
2020-04-06-1,1.1899986267089844,1.875,1.6399993896484375,2.229999542236328
2020-04-06-2,0.845001220703125,0.3950004577636719,0.7599983215332031,0.45999908447265625
2020-04-06-3,0.4650001525878906,0.75,0.4500007629394531,0.7000007629394531
2020-04-06-4,0.7000007629394531,-0.04000091552734375,0.45999908447265625,-0.18500137329101562
2020-04-06-5,-0.18000030517578125,0.0,0.01000213623046875,-0.034999847412109375
2020-04-06-6,-0.030002593994140625,0.045001983642578125,0.09000015258789062,0.154998779296875
2020-04-06-7,0.15000152587890625,0.4149971008300781,0.09999847412109375,0.2650032043457031
2020-04-07-1,1.720001220703125,1.2700004577636719,0.9750022888183594,0.625
2020-04-07-2,-0.8500022888183594,-0.6699981689453125,-0.56500244140625,-0.095001220703125
2020-04-07-3,-0.09499740600585938,0.3600006103515625,0.41500091552734375,0.5900001525878906
2020-04-07-4,0.6149978637695312,-0.030002593994140625,0.034999847412109375,-0.5100021362304688
2020-04-07-5,-0.5099983215332031,-0.48999786376953125,-0.5050010681152344,-0.4199981689453125
2020-04-07-6,-0.44000244140625,-0.44499969482421875,-0.6649971008300781,-0.6899986267089844
2020-04-07-7,-0.6699981689453125,0.10499954223632812,0.05999755859375,-0.04000091552734375
2020-04-08-1,-0.04000091552734375,-0.09000015258789062,-0.12999725341796875,0.4850006103515625
2020-04-08-2,0.4789009094238281,0.20999908447265625,0.6499977111816406,0.47499847412109375
2020-04-08-3,0.5010986328125,0.4200019836425781,0.5050010681152344,0.20999908447265625
2020-04-08-4,0.18000030517578125,-0.18000030517578125,-0.034999847412109375,-0.09000015258789062
2020-04-08-5,-0.06999969482421875,0.279998779296875,-0.1100006103515625,0.4550018310546875
2020-04-08-6,0.4249992370605469,0.22999954223632812,0.6199989318847656,0.19499969482421875
2020-04-08-7,0.21500015258789062,0.3600006103515625,-0.009998321533203125,0.04000091552734375
2020-04-09-1,0.470001220703125,1.9000015258789062,0.7999992370605469,1.9799995422363281
2020-04-09-2,1.5699996948242188,-0.030002593994140625,1.029998779296875,-0.20000076293945312
2020-04-09-3,-0.22999954223632812,-0.2350006103515625,0.17000198364257812,0.1399993896484375
2020-04-09-4,0.13499832153320312,0.14500045776367188,-0.01000213623046875,-0.16500091552734375
2020-04-09-5,-0.15999984741210938,-0.21999740600585938,-0.6699981689453125,-0.6349983215332031
2020-04-09-6,-0.6349983215332031,-0.44000244140625,-0.5100021362304688,0.3699989318847656
2020-04-09-7,0.375,0.2950019836425781,0.9000015258789062,0.10000228881835938
2020-04-13-1,-0.07500076293945312,-0.345001220703125,-1.3100013732910156,-1.5
2020-04-13-2,-1.3199996948242188,-1.3100013732910156,-0.25,-0.08500289916992188
2020-04-13-3,-0.09000015258789062,0.5200004577636719,0.14000320434570312,0.5300025939941406
2020-04-13-4,0.5200004577636719,-0.07999801635742188,-0.21000289916992188,-0.7299995422363281
2020-04-13-5,-0.720001220703125,-0.3400001525878906,0.01000213623046875,0.029998779296875
2020-04-13-6,0.029300689697265625,-0.1399993896484375,-0.09000015258789062,0.18500137329101562
