Date,Open,High,Low,Close
0,0,0,0,0
2020-03-31-2,0.04000091552734375,-0.9000015258789062,-0.4799957275390625,-1.9899978637695312
2020-03-31-3,-2.0500030517578125,-1.720001220703125,-0.7300033569335938,-1.2849960327148438
2020-03-31-4,-1.1599960327148438,-1.8199996948242188,-0.5699996948242188,-0.2350006103515625
2020-03-31-5,-0.40000152587890625,0.23000335693359375,-0.7699966430664062,-0.8199996948242188
2020-03-31-6,-0.7050018310546875,-0.34000396728515625,-0.7000045776367188,-0.9250030517578125
2020-03-31-7,-0.9150009155273438,-0.75,0.1100006103515625,0.4550018310546875
2020-04-01-1,-3.5499954223632812,-3.0400009155273438,-5.0,-5.459999084472656
2020-04-01-2,-1.5149993896484375,-2.529998779296875,-0.7099990844726562,-0.595001220703125
2020-04-01-3,-0.5400009155273438,-0.43000030517578125,-0.20999908447265625,-0.18499755859375
2020-04-01-4,-0.2649993896484375,-0.8600006103515625,-1.7099990844726562,-1.350006103515625
2020-04-01-5,-1.3300018310546875,0.15000152587890625,0.029998779296875,-0.1999969482421875
2020-04-01-6,-0.25,-1.7399978637695312,-1.0500030517578125,-1.3600006103515625
2020-04-01-7,-1.2600021362304688,0.00499725341796875,-0.6199951171875,0.7600021362304688
2020-04-02-1,-1.3600006103515625,1.9850006103515625,-1.345001220703125,2.5699996948242188
2020-04-02-2,4.965003967285156,1.3649978637695312,4.154998779296875,-1.035003662109375
2020-04-02-3,-1.18499755859375,-1.5399932861328125,0.12000274658203125,0.5750045776367188
2020-04-02-4,0.45499420166015625,0.0149993896484375,-0.1699981689453125,-0.7300033569335938
2020-04-02-5,-0.6949996948242188,-0.6700057983398438,-1.0800018310546875,-0.30999755859375
2020-04-02-6,-0.43000030517578125,0.45000457763671875,0.43999481201171875,0.9000015258789062
2020-04-02-7,1.0500030517578125,1.5400009155273438,-0.07999420166015625,0.399993896484375
2020-04-03-1,-0.410003662109375,-0.279998779296875,0.4199981689453125,-0.55999755859375
2020-04-03-2,0.19499969482421875,-1.5,-1.7399978637695312,-2.279998779296875
2020-04-03-3,-2.375,-2.0800018310546875,-0.5900039672851562,-0.5100021362304688
2020-04-03-4,-0.38599395751953125,-0.26000213623046875,-0.48999786376953125,-0.752197265625
2020-04-03-5,-0.79400634765625,-0.6500015258789062,-0.5,0.5421981811523438
2020-04-03-6,0.39000701904296875,-0.01999664306640625,0.3600006103515625,-0.15000152587890625
2020-04-03-7,0.029998779296875,-0.09000396728515625,-0.7099990844726562,-0.8799972534179688
2020-04-06-1,3.1500015258789062,5.420005798339844,3.2699966430664062,6.1699981689453125
2020-04-06-2,2.1199951171875,0.8699951171875,3.2549972534179688,1.288604736328125
